ref	pos	count	mean	std	min	25%	50%	75%	max
NC_045512.2	0	44369.0	0.08530730915729451	0.6225947558078385	0.0	0.0	0.0	0.0	20.0
NC_045512.2	1	44369.0	0.1012193197953526	0.6665198035004867	0.0	0.0	0.0	0.0	20.0
NC_045512.2	2	44369.0	0.22364714102188465	1.1292043828766278	0.0	0.0	0.0	0.0	33.0
NC_045512.2	3	44369.0	0.2724199328359891	1.2820913072329514	0.0	0.0	0.0	0.0	49.0
NC_045512.2	4	44369.0	0.41400527395253445	1.7144733552160312	0.0	0.0	0.0	0.0	57.0
NC_045512.2	5	44369.0	0.46162861457323806	1.8402120354170335	0.0	0.0	0.0	0.0	57.0
NC_045512.2	6	44369.0	0.5087335752439767	1.968907622609603	0.0	0.0	0.0	0.0	57.0
NC_045512.2	7	44369.0	0.5486488313912867	2.080842466629909	0.0	0.0	0.0	0.0	61.0
NC_045512.2	8	44369.0	0.5883161666929613	2.199288187947677	0.0	0.0	0.0	0.0	64.0
NC_045512.2	9	44369.0	0.6274200455272826	2.3183846009010227	0.0	0.0	0.0	0.0	69.0
NC_045512.2	10	44369.0	0.7179336924429218	2.580741510422886	0.0	0.0	0.0	0.0	77.0
NC_045512.2	11	44369.0	0.8129324528386936	2.8904498300344073	0.0	0.0	0.0	0.0	98.0
NC_045512.2	12	44369.0	0.9367801843629561	3.255199412526973	0.0	0.0	0.0	0.0	103.0
NC_045512.2	13	44369.0	0.9610764272352318	3.322720969876704	0.0	0.0	0.0	0.0	103.0
NC_045512.2	14	44369.0	0.977506817823255	3.372148231550708	0.0	0.0	0.0	0.0	103.0
NC_045512.2	15	44369.0	1.1019405440735648	3.745341868655989	0.0	0.0	0.0	0.0	111.0
NC_045512.2	16	44369.0	1.2643737744821835	4.299199473306769	0.0	0.0	0.0	0.0	148.0
NC_045512.2	17	44369.0	1.4829498072978882	5.016743852928032	0.0	0.0	0.0	1.0	152.0
NC_045512.2	18	44369.0	1.5085307309157294	5.127088030220918	0.0	0.0	0.0	1.0	160.0
NC_045512.2	19	44369.0	1.5216254592170209	5.174330828382003	0.0	0.0	0.0	1.0	166.0
NC_045512.2	20	44369.0	1.5390926097049742	5.229803863087817	0.0	0.0	0.0	1.0	167.0
NC_045512.2	21	44369.0	1.586761026843066	5.387056801482698	0.0	0.0	0.0	1.0	168.0
NC_045512.2	22	44369.0	1.6341139083594403	5.537756442872899	0.0	0.0	0.0	1.0	171.0
NC_045512.2	23	44369.0	1.6741418558002208	5.676099175629846	0.0	0.0	0.0	1.0	175.0
NC_045512.2	24	44369.0	1.741598864071762	5.84496330888694	0.0	0.0	0.0	1.0	176.0
NC_045512.2	25	44369.0	1.8320674344700127	6.008520617893161	0.0	0.0	0.0	1.0	177.0
NC_045512.2	26	44369.0	1.9155266064143883	6.394775412878745	0.0	0.0	0.0	1.0	302.0
NC_045512.2	27	44369.0	1.9869052716987086	6.571195627262645	0.0	0.0	0.0	1.0	361.0
NC_045512.2	28	44369.0	2.135973314701706	8.214409885898048	0.0	0.0	0.0	1.0	940.0
NC_045512.2	29	44369.0	5.538731997565868	30.071206247998433	0.0	0.0	0.0	5.0	3550.0
NC_045512.2	30	44369.0	4483.200928576258	11113.946644707521	0.0	0.0	90.0	2825.0	342696.0
NC_045512.2	31	44369.0	4663.576866731276	11542.335143749668	0.0	0.0	93.0	2922.0	357510.0
NC_045512.2	32	44369.0	4715.852689941175	11654.874901816493	0.0	0.0	94.0	2955.0	361214.0
NC_045512.2	33	44369.0	4756.032567783813	11743.561396833258	0.0	1.0	94.0	2977.0	364965.0
NC_045512.2	34	44369.0	4846.280173093827	11939.19127565865	0.0	1.0	96.0	3008.0	369085.0
NC_045512.2	35	44369.0	4900.489846514458	12063.159367098375	0.0	1.0	96.0	3031.0	372633.0
NC_045512.2	36	44369.0	4916.287971331335	12104.118216350327	0.0	2.0	96.0	3037.0	374317.0
NC_045512.2	37	44369.0	4929.660348441479	12144.510313244418	0.0	3.0	97.0	3045.0	376380.0
NC_045512.2	38	44369.0	4988.121638982172	12220.609368462787	0.0	27.0	207.0	3059.0	380259.0
NC_045512.2	39	44369.0	5046.056458338029	12273.99928742823	0.0	43.0	337.0	3082.0	382924.0
NC_045512.2	40	44369.0	5055.760395771823	12297.884156739925	0.0	44.0	345.0	3090.0	384256.0
NC_045512.2	41	44369.0	5064.277040275868	12308.985316923749	0.0	46.0	358.0	3098.0	384710.0
NC_045512.2	42	44369.0	5073.226486961617	12327.32870253855	0.0	47.0	366.0	3099.0	385415.0
NC_045512.2	43	44369.0	5076.520814081904	12335.131492535122	0.0	47.0	368.0	3100.0	385857.0
NC_045512.2	44	44369.0	5080.715116410106	12338.643509955793	0.0	48.0	377.0	3101.0	386024.0
NC_045512.2	45	44369.0	5090.040546327391	12342.11391360793	0.0	52.0	399.0	3106.0	386303.0
NC_045512.2	46	44369.0	5097.586039802565	12350.583567768334	0.0	54.0	412.0	3109.0	386631.0
NC_045512.2	47	44369.0	5138.8889765376725	12342.82739761285	0.0	69.0	530.0	3139.0	386984.0
NC_045512.2	48	44369.0	5144.616827063941	12348.762690961035	0.0	70.0	540.0	3140.0	387408.0
NC_045512.2	49	44369.0	5337.362077125921	12304.347558081367	0.0	117.0	935.0	3515.0	387714.0
NC_045512.2	50	44369.0	5362.8603980256485	12306.580201871084	0.0	121.0	975.0	3570.0	388044.0
NC_045512.2	51	44369.0	5389.449705875724	12317.537141425299	0.0	124.0	1014.0	3624.0	388900.0
NC_045512.2	52	44369.0	5409.4186706935025	12324.943090079612	0.0	127.0	1038.0	3663.0	389382.0
NC_045512.2	53	44369.0	5408.033784849783	12321.072730397289	0.0	127.0	1043.0	3667.0	389473.0
NC_045512.2	54	44369.0	5309.101963082332	12248.078574911167	0.0	105.0	1006.0	3420.0	389622.0
NC_045512.2	55	44369.0	5325.385877527102	12242.840427128596	0.0	79.0	1026.0	3524.0	389791.0
